item_id	issuer_name	item_name
3	哔哩哔哩	百万粉丝成就数字奖牌
4	哔哩哔哩	知名UP主数字认证
26	哔哩哔哩	鸽德
27	哔哩哔哩	鸽德
73	哔哩哔哩	寅虎2022
87	哔哩哔哩	不亦乐“虎”
939	xxxxxxxx	Cheers UP Period
1004	哔哩哔哩数字藏品	干杯2022
1011	哔哩哔哩数字藏品	干杯！大会员鱼人
1035	泠鸢yousa	泠鸢十周年
1045	泠鸢yousa	泠鸢专属数字头像
1056	哔哩哔哩数字藏品	干杯！京剧
1061	Overidea_China	京华DD鸟
1066	bilibiliX坏猴子影业	大世界扭蛋机联名数字藏品
1068	哔哩哔哩游戏	“火羊”蕾伊
1069	哔哩哔哩游戏	“火羊”蕾伊头像
1076	哔哩哔哩UP主工房	盛夏果实2022毕业季
1085	冰糖IO	冰糖IO
1089	哔哩哔哩×洛天依	干杯！洛天依
1090	哔哩哔哩×洛天依	洛天依十周年
1114	伊万_iiivan	伊万生日会
1126	亿点点不一样	亿点点海洋探秘
1129	音乐姬×翠花不太脆	《人间梦游》
1130	音乐姬×翠花不太脆	《人间梦游》头像
1137	亿点点不一样	亿点点海洋探秘
1148	Providence	花花Haya
1152	哔哩哔哩数字藏品	干杯！故宫
1155	亿点点不一样	亿点点版权视频
1161	博物×BEMOE	圆宝系列珍稀动物
1179	三联生活实验室	三联纪念版AI艺术
1185	VirtuaReal	《限定游戏》
1186	VirtuaReal	《限定游戏》头像
1215	小缘	小缘
1234	哔哩哔哩×洛天依	干杯！洛天依
1266	HiiroVTuber	HiiroVTuber
1267	Bootybirds屁股鸟×BEMOE	Bootybirds屁股鸟
1305	哔哩哔哩国创	百妖谱系列
1306	哔哩哔哩	百妖谱系列头像
1318	IP?SHANGHAI×哔哩哔哩	申生不息
1326	哔哩哔哩数字藏品 x 芬达Fanta	干杯！芬达
1332	AIChannel中国绊爱	AIChannel中国绊爱
1336	凹凸世界	凹凸世界
1371	华山263 老字号品牌馆	华山263 老字号品牌馆   开馆珍藏
1375	索尼影视电视	神秘海域典藏版
1380	索尼影视电视	神秘海域典藏版 视频
1435	哔哩哔哩数字藏品	干杯！大会员6周年
1446	哔哩哔哩直播	豆豆猫派对
1451	早稻叽	早稻叽
1452	哔哩哔哩	早稻叽 视频
1457	阿萨Aza	远行见面会-阿萨Aza
1458	罗伊_Roi	远行见面会-罗伊Roi
1476	 月隐空夜	月隐空夜 头像
1478	呜米	呜米Umy
1479	哔哩哔哩	呜米Umy 视频
1480	咩栗	咩栗Merry
1481	哔哩哔哩	咩栗Merry 视频
1488	罗伊_Roi&阿萨Aza	Roza音频卡
1489	中国国际进口博览局	开放共享 ‘5’动进博
1499	呜米x咩栗	MeUmy双人视频
1512	哔哩哔哩会员购	Mixsoul典藏光栅卡
1513	哔哩哔哩	Mixsoul撕放本我
1514	上海喜玛拉雅美术馆	加密上海纪念藏品
1516	哔哩哔哩数字藏品 x 林肯中国	干杯！林肯中国【首发版】
1531	海尔兄弟	海尔兄弟数字藏品
1540	上海元盒	传奇令
1545	KNOWIN潮流实验室官方	咔哒和他的朋友们
1547	KNOWIN潮流实验室官方	咔哒
1551	哔哩哔哩数字周边	2022数字形象
1553	哔哩哔哩数字藏品 x 林肯中国	干杯！林肯中国
1564	BLG电子竞技俱乐部	BLG5周年百变布噜噜
1565	上海元盒	传奇令角色系列
1572	上海三枪（集团）有限公司	三枪-熊抱元宇宙
1577	上海冠生园食品有限公司	佛手百年?典藏
1580	哔哩哔哩	冬日颂歌·装扮赏第1名限定
1581	哔哩哔哩	山海故事·装扮赏第2名限定
1582	哔哩哔哩	赛博朋克·装扮赏第3名限定
1584	哔哩哔哩	暗黑童话·装扮赏第4-10名限定
1585	哔哩哔哩	红墙踏雪·装扮赏第11-100名限定
1587	海尔兄弟	海尔兄弟数字藏品3D
1604	哔哩哔哩数字周边	干杯！2023
1622	EOE组合	虞莫MOMO视频藏品
1624	EOE组合	柚恩不加糖视频藏品
1625	EOE组合	露早GOGO视频藏品
1627	EOE组合	EOE团体视频藏品
1628	EOE组合	米诺高分少女视频藏品
1630	EOE组合	莞儿睡不醒视频藏品
1634	哔哩哔哩数字周边	干杯！2023 兔飞萌进
1639	EOE组合	柚恩不加糖藏品
1641	EOE组合	莞儿睡不醒藏品
1642	EOE组合	米诺高分少女藏品
1643	EOE组合	虞莫MOMO藏品
1647	哔哩哔哩数字周边	干杯！大会员新春烟花系列
1653	哔哩哔哩直播	干杯！BLS2022·神将系列视频
1660	哔哩哔哩直播	干杯！BLS2022·战士系列
1661	哔哩哔哩直播	干杯！BLS2022·骑士系列
1662	哔哩哔哩直播	干杯！BLS2022·相仕系列
1663	哔哩哔哩直播	干杯！BLS2022·神将系列
1682	台州市委宣传部	文化“台”精彩：椒江区
1683	台州市委宣传部	文化“台”精彩：黄岩区
1684	台州市委宣传部	文化“台”精彩：路桥区
1685	台州市委宣传部	文化“台”精彩：温岭市
1686	台州市委宣传部	文化“台”精彩：临海市
1687	台州市委宣传部	文化“台”精彩：玉环市
1688	台州市委宣传部	文化“台”精彩：天台县
1689	台州市委宣传部	文化“台”精彩：仙居县
1690	台州市委宣传部	文化“台”精彩：三门县
1691	台州市委宣传部	文化“台”精彩：市本级
1704	哔哩哔哩大会员	大会员·愚人节小妖怪
1707	哔哩哔哩数字周边	传世新辉
1722	哔哩哔哩数字周边×汽车之家	干杯！上海车展
